44	149	2
44	165	5
44	1007	5
44	1111	2
44	1546	2
44	1981	2
66	167	3
66	208	2
66	1441	3
66	1546	7
66	1776	1
66	1981	1
66	2018	3
66	2049	2
66	2182	1
149	1007	1
149	1111	1
149	1546	1
149	1981	3
165	1007	1
167	208	8
167	1020	7
167	1174	1
167	1441	5
167	1546	1
167	1600	3
167	1776	5
167	2018	7
167	2049	7
167	2182	9
208	1020	5
208	1174	1
208	1441	3
208	1546	1
208	1600	2
208	1776	2
208	2018	4
208	2049	5
208	2182	7
644	821	5
644	1104	5
821	1104	5
914	1611	6
914	1780	1
914	2300	3
914	2351	7
1007	1111	1
1007	1546	1
1007	1981	1
1020	1600	5
1020	1776	3
1020	2049	4
1020	2182	9
1111	1546	2
1111	1981	2
1174	1441	1
1174	1639	3
1174	2018	1
1174	2182	1
1378	1468	2
1378	1472	2
1378	1704	5
1378	1780	5
1378	1934	4
1378	1955	1
1378	1967	3
1378	1970	1
1378	2260	1
1441	1546	1
1441	1776	1
1441	2018	5
1441	2049	2
1441	2148	1
1441	2182	2
1468	1472	2
1468	1704	1
1468	1780	4
1468	1934	2
1468	1967	2
1468	2260	1
1472	1704	2
1472	1780	4
1472	1934	3
1472	1967	4
1472	2260	1
1546	1981	3
1546	2018	1
1546	2049	1
1546	2182	1
1600	1776	1
1600	2049	2
1600	2182	5
1611	2300	3
1611	2351	1
1704	1780	17
1704	1934	5
1704	1955	3
1704	1967	4
1704	1970	5
1704	2260	6
1776	2018	2
1776	2049	4
1776	2182	3
1780	1934	6
1780	1955	5
1780	1967	5
1780	1970	4
1780	2260	4
1934	1955	1
1934	1967	3
1934	1970	2
1934	2260	2
1955	1970	2
1955	2260	1
1967	1970	1
1967	2260	1
1970	2260	2
2018	2049	3
2018	2182	2
2049	2182	5
2057	2183	5
2148	2182	1
2300	2351	1
