4	246	1
4	315	1
4	361	1
4	564	1
4	577	2
4	860	1
4	1247	2
8	38	1
8	48	1
8	128	2
8	324	1
8	361	1
8	564	1
8	577	1
8	1247	3
8	1251	1
15	434	2
15	990	1
15	1130	1
15	1179	1
15	1247	2
38	128	2
38	553	1
38	564	1
38	918	1
38	1247	1
38	1258	1
48	128	4
48	253	1
48	315	1
48	361	1
48	367	1
48	434	1
48	553	1
48	561	2
48	661	2
48	790	1
48	893	1
48	918	1
48	990	1
48	1021	1
48	1063	1
48	1246	1
48	1247	5
48	1258	2
64	95	1
64	315	2
64	367	1
64	561	1
64	725	1
64	1159	1
64	1247	4
64	1270	1
95	253	2
95	577	1
95	743	1
95	893	1
95	1063	2
95	1187	3
95	1234	1
95	1247	2
128	361	3
128	367	3
128	434	3
128	553	1
128	561	5
128	564	3
128	577	1
128	633	1
128	635	1
128	661	1
128	725	1
128	743	2
128	860	2
128	865	1
128	918	1
128	990	1
128	1141	1
128	1247	8
128	1251	1
128	1258	3
128	1260	1
128	1270	1
128	1298	1
246	860	2
246	865	1
248	253	5
248	361	1
248	553	1
248	561	4
248	1063	2
248	1247	3
253	315	1
253	361	3
253	553	1
253	561	7
253	657	1
253	743	1
253	1063	11
253	1187	1
253	1247	5
253	1258	1
253	1260	1
253	1270	1
315	361	3
315	553	1
315	561	1
315	1063	1
315	1246	1
315	1247	3
315	1271	1
324	725	1
324	768	1
324	1234	1
361	561	4
361	564	1
361	657	1
361	725	2
361	1063	3
361	1141	1
361	1179	1
361	1247	10
361	1258	1
367	561	4
367	865	1
367	893	2
367	1159	1
367	1247	2
367	1258	3
367	1260	1
426	434	3
426	683	1
426	790	1
426	860	1
426	990	1
426	1247	2
434	564	1
434	633	1
434	635	1
434	683	1
434	790	2
434	860	1
434	865	1
434	990	9
434	1130	3
434	1141	2
434	1179	2
434	1247	9
434	1260	2
553	561	1
553	790	2
553	893	1
553	1246	1
553	1247	2
553	1258	1
561	635	1
561	725	1
561	743	9
561	790	1
561	865	1
561	893	1
561	1063	6
561	1130	1
561	1141	1
561	1148	1
561	1157	2
561	1159	1
561	1247	12
561	1258	7
561	1271	1
561	1298	1
564	577	1
564	990	1
564	1130	1
564	1247	2
564	1258	1
564	1270	1
564	1271	1
577	725	1
577	865	1
577	893	1
577	1021	1
577	1234	1
577	1247	1
633	635	3
633	1021	1
633	1148	1
633	1159	2
633	1247	1
633	1251	1
635	743	1
635	1159	1
635	1187	1
657	1234	1
657	1247	1
661	918	4
661	1018	1
661	1247	3
683	687	1
683	790	3
683	990	1
683	1246	1
683	1247	2
687	790	1
687	1246	1
725	893	1
725	1021	1
725	1157	2
725	1247	2
725	1270	2
743	790	1
743	865	1
743	1148	1
743	1187	1
743	1298	2
768	1234	3
768	1247	3
790	852	1
790	990	2
790	1141	1
790	1247	6
860	1247	1
865	1141	1
865	1247	1
893	1187	1
918	1018	1
918	1247	3
965	1258	1
990	1130	2
990	1141	1
990	1179	1
990	1247	7
990	1260	1
990	1270	2
1018	1159	1
1018	1234	1
1021	1159	1
1021	1251	1
1063	1187	1
1063	1247	4
1063	1260	1
1130	1157	1
1130	1179	2
1130	1187	1
1130	1247	3
1130	1258	1
1130	1271	1
1141	1148	1
1141	1247	2
1141	1258	1
1148	1247	1
1157	1247	1
1159	1187	2
1159	1251	1
1179	1247	1
1187	1258	1
1234	1247	1
1246	1270	1
1247	1258	1
1247	1270	2
1247	1298	2
1258	1271	1
1260	1270	1
